C1,C2,C3,C4,C5,C6,C7
P1,0.3946673531519777,0.0,0.0,0.0,,N
P1,0.3879151753659333,0.0,-1.7108528820838045,0.0,,N
P1,0.3612988579023306,0.0104,-6.861375670207965,0.0,1.0,S
P1,0.488483661958227,0.0104,35.202105202966955,0.0,1.0,S
P1,0.3982056678616988,0.0,-18.481271970207352,8.040560466145,,N
P1,0.3848275298210318,0.0,-3.359605128803272,7.48751946952678,,N
P1,0.3992590907098403,0.0,3.7501373395817024,6.172650036262793,,N
P1,0.3982505990885889,0.0,-0.2525907724376012,5.291592825455211,,N
P1,0.3981532861223334,0.0,-0.0244351085668633,0.8165069566574079,,N
P1,0.3960009976505912,0.0,-0.540567803095039,0.4763533472628674,,N
P1,0.3921877668014576,0.0,-0.9629346571743316,0.6870079705397023,,N
P1,0.3932638850869311,0.0,0.2743885395125724,0.7575568343387307,,N
P1,0.3884887923770887,0.0,-1.214221008061,0.7165133320410093,,N
P1,0.402419762754315,0.0,3.58593880971066,0.8196483193754109,,N
P1,0.3902708131497346,0.0,-3.018974396642039,0.504485546405621,,N
P1,0.3830984760229633,0.0,-1.8377846575012744,1.554919742837796,,N
P1,0.4030330628311152,0.0,5.203515037464403,1.5378006985128567,,N
P1,0.3991369160890975,0.0,-0.9667064817583662,1.4310917484027583,,N
P1,0.3760761461976568,0.0,-5.777658984139901,2.173777979516876,,N
P1,0.3999579432817022,0.0,6.350255746210956,1.7330869588378626,,N
P1,0.3978244695405412,0.0,-0.5334245205022481,2.037421642302653,,N
P1,0.392342457075726,0.0,-1.377997806707678,1.318682938461571,,N
P1,0.4020224638000518,0.0,2.4672340578367207,1.2981606063795337,,N
P1,0.3967927409559739,0.0,-1.30085338879941,0.5780224934721798,,N
P1,0.4016468560258171,0.0,1.223337669471571,0.344546209993005,,N
P1,0.3949233817870431,0.0,-1.6739765637159214,0.2894449566786834,,N
P1,0.4008452344861394,0.0,1.4994940720652397,0.4252492983844043,,N
P1,0.400080246050744,0.0,-0.1908438393625969,0.8562839068126773,,N
P1,0.4002482452273861,0.0,0.0419913700564989,0.258348182538322,,N
P1,0.3992531334907718,0.0,-0.2486236350765216,0.5190717099595643,,N
P1,0.400341298167103,0.0,0.2725500653725907,0.4747333572260936,,N
P1,0.394629369095777,0.0,-1.426764887229255,0.3800521751769268,,N
P1,0.3936547126393012,0.0,-0.2469802130310592,0.7573839308871477,,N
P1,0.4039606043964824,0.0,2.618002890930541,1.1333814154763129,,N
